X,Y
50,102
3,43
59,19
14,94
42,28
52,42
37,19
6,64
35,79
67,59
66,70
45,67
45,19
10,48
66,22
62,54
55,55
24,62
24,26
51,27
10,52
37,15
44,94
42,96
14,88
47,69
36,106
53,79
44,56
53,101
16,24
13,69
49,17
33,51
34,58
14,86
26,94
55,31
5,19
47,33
28,42
61,37
29,25
51,93
9,65
45,21
6,34
59,31
15,67
29,31
27,99
67,23
64,52
36,24
14,30
15,39
40,96
8,70
24,70
46,92
12,64
62,82
54,68
16,92
53,73
15,53
24,76
8,22
67,53
23,65
54,94
50,92
47,39
48,42
24,40
9,83
36,74
4,48
55,61
38,44
60,92
12,92
11,27
35,93
53,41
16,66
20,66
7,49
18,18
29,27
14,20
5,49
13,25
60,54
5,27
36,68
27,27
35,77
39,29
36,80
59,39
26,90
59,73
53,69
65,23
57,35
50,68
35,73
57,81
28,48
27,87
24,38
30,46
63,21
26,92
60,26
25,81
44,92
19,47
33,31
45,101
41,25
62,48
44,104
49,27
69,37
52,80
57,85
46,34
5,61
36,30
52,38
5,71
23,19
67,37
52,46
48,86
57,57
8,42
27,101
36,22
5,23
69,33
54,98
13,47
8,26
39,79
8,60
52,16
32,92
51,15
48,30
44,78
23,47
15,21
23,93
25,101
25,59
19,97
19,35
55,27
66,32
40,50
58,66
51,63
23,91
66,58
49,63
45,83
13,91
11,67
64,16
50,82
44,84
32,72
22,30
30,26
49,75
29,37
61,87
44,76
42,20
36,32
57,31
51,97
28,82
24,56
44,90
14,64
60,16
24,50
19,39
65,17
25,43
31,71
7,71
27,71
17,17
52,48
52,24
7,57
10,58
10,80
53,87
51,39
21,63
55,57
42,102
42,62
41,37
45,81
9,75
40,104
51,61
53,49
17,49
56,78
7,81
30,54
48,76
3,55
48,94
38,56
42,42
30,86
25,25
37,37
61,29
69,35
57,65
38,100
42,48
58,54
12,20
56,40
48,84
13,65
9,53
61,67
28,66
36,92
51,79
44,106
46,98
59,15
61,39
5,65
50,30
32,30
65,15
46,18
32,24
64,34
8,34
9,81
50,18
22,80
25,63
36,102
37,43
10,70
63,47
33,61
17,73
43,71
49,59
41,31
34,62
28,100
15,27
61,75
57,79
52,60
53,55
49,77
5,31
47,25
71,13
10,66
70,32
33,67
41,97
17,63
41,69
39,39
8,54
60,44
14,68
63,17
25,41
60,56
50,104
64,22
14,74
59,41
7,33
60,86
25,69
9,43
67,17
63,29
47,17
32,104
57,69
48,70
49,23
36,78
42,78
8,84
36,70
57,93
47,83
68,30
16,70
30,78
27,39
10,36
33,55
30,64
13,31
11,95
58,78
14,32
36,90
0,32
38,52
46,90
51,81
61,85
27,75
42,72
4,56
29,49
32,106
28,62
27,73
38,88
42,44
64,78
48,28
32,98
17,23
7,47
22,28
49,65
26,56
41,17
49,97
53,33
28,46
63,45
68,34
26,88
58,34
40,18
29,19
16,64
24,28
51,101
3,51
48,106
32,44
40,38
15,35
46,82
64,72
21,97
29,75
21,55
34,106
58,24
36,54
60,72
41,93
56,20
68,26
27,65
34,20
53,81
31,35
64,68
56,58
51,95
53,19
22,52
64,58
23,81
42,26
64,26
61,49
15,65
67,29
50,22
51,37
17,59
25,55
68,22
57,55
24,92
62,62
13,37
66,66
8,24
6,36
45,71
61,33
21,99
16,74
52,86
38,76
18,88
41,45
20,84
54,28
5,47
41,23
61,65
43,85
16,38
43,45
18,98
52,98
53,65
46,96
48,16
26,86
59,49
49,99
28,38
15,55
45,25
62,88
59,17
26,30
50,42
24,18
13,89
4,46
55,53
8,74
44,20
17,45
35,65
37,97
65,33
34,92
30,88
33,63
13,41
12,76
63,35
35,31
46,20
64,56
37,17
22,74
41,67
16,60
25,79
56,88
13,51
25,33
64,48
4,24
58,26
58,52
67,35
41,47
48,90
55,99
6,30
16,28
42,100
17,93
38,90
25,39
47,23
57,91
51,29
54,30
18,20
24,66
44,102
44,52
66,28
35,87
29,103
59,89
