X,Y
10,10
10,13
10,14
10,15
10,16
10,17
10,19
10,20
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
11,11
11,13
11,14
11,15
11,16
11,17
11,19
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
12,13
12,14
12,15
12,16
12,17
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
13,13
13,14
13,15
13,16
13,17
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
15,13
15,14
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
16,13
16,14
16,15
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,30
16,31
16,32
16,33
16,34
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,28
17,29
17,30
17,31
17,32
17,33
17,34
18,13
18,14
18,15
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,28
18,29
18,30
18,31
18,32
18,33
18,34
19,13
19,14
19,15
19,17
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,30
19,31
19,32
19,33
19,34
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
22,33
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,24
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
26,17
26,18
26,19
26,20
26,21
26,22
26,23
26,24
26,25
26,26
26,27
26,28
26,29
26,30
26,31
27,18
27,19
27,20
27,21
27,22
27,23
27,25
27,26
27,27
27,28
28,18
28,19
28,20
28,21
28,22
28,23
28,25
28,26
29,19
29,20
29,21
29,22
29,23
2,14
2,15
2,16
2,17
2,18
30,20
30,21
30,22
3,13
3,14
3,15
3,16
3,17
3,18
4,10
4,11
4,13
4,14
4,15
4,16
4,17
4,8
4,9
5,10
5,11
5,13
5,14
5,15
5,16
5,17
5,8
5,9
6,10
6,11
6,13
6,14
6,15
6,16
6,31
6,32
6,33
6,9
7,10
7,11
7,13
7,14
7,31
7,32
7,33
8,10
8,11
8,13
8,14
8,31
8,32
8,33
9,10
9,11
9,13
9,16
9,17
9,18
9,26
9,27
9,29
9,30
9,31
9,32
9,33
