Cell_ID,Cell_class_id,Cell_class_name
1,3,Glutamatergic Neuron
2,3,Glutamatergic Neuron
3,3,Glutamatergic Neuron
4,3,Glutamatergic Neuron
5,3,Glutamatergic Neuron
6,3,Glutamatergic Neuron
7,3,Glutamatergic Neuron
8,3,Glutamatergic Neuron
9,3,Glutamatergic Neuron
10,3,Glutamatergic Neuron
11,3,Glutamatergic Neuron
12,3,Glutamatergic Neuron
13,3,Glutamatergic Neuron
14,3,Glutamatergic Neuron
15,3,Glutamatergic Neuron
16,3,Glutamatergic Neuron
17,3,Glutamatergic Neuron
18,3,Glutamatergic Neuron
19,2,GABA-ergic Neuron
20,2,GABA-ergic Neuron
21,2,GABA-ergic Neuron
22,2,GABA-ergic Neuron
23,3,Glutamatergic Neuron
24,2,GABA-ergic Neuron
25,3,Glutamatergic Neuron
26,3,Glutamatergic Neuron
27,2,GABA-ergic Neuron
28,3,Glutamatergic Neuron
29,2,GABA-ergic Neuron
30,2,GABA-ergic Neuron
31,2,GABA-ergic Neuron
32,3,Glutamatergic Neuron
33,2,GABA-ergic Neuron
34,3,Glutamatergic Neuron
35,2,GABA-ergic Neuron
36,3,Glutamatergic Neuron
37,2,GABA-ergic Neuron
38,3,Glutamatergic Neuron
39,3,Glutamatergic Neuron
40,2,GABA-ergic Neuron
41,3,Glutamatergic Neuron
42,3,Glutamatergic Neuron
43,2,GABA-ergic Neuron
44,2,GABA-ergic Neuron
45,3,Glutamatergic Neuron
46,7,Oligodendrocyte.3
47,1,Endothelial Cell
48,3,Glutamatergic Neuron
49,0,Astrocyte
50,2,GABA-ergic Neuron
51,3,Glutamatergic Neuron
52,3,Glutamatergic Neuron
53,0,Astrocyte
54,3,Glutamatergic Neuron
55,3,Glutamatergic Neuron
56,2,GABA-ergic Neuron
57,2,GABA-ergic Neuron
58,2,GABA-ergic Neuron
59,3,Glutamatergic Neuron
60,2,GABA-ergic Neuron
61,2,GABA-ergic Neuron
62,2,GABA-ergic Neuron
63,0,Astrocyte
64,3,Glutamatergic Neuron
65,2,GABA-ergic Neuron
66,2,GABA-ergic Neuron
67,2,GABA-ergic Neuron
68,3,Glutamatergic Neuron
69,3,Glutamatergic Neuron
70,3,Glutamatergic Neuron
71,2,GABA-ergic Neuron
72,3,Glutamatergic Neuron
73,3,Glutamatergic Neuron
74,3,Glutamatergic Neuron
75,3,Glutamatergic Neuron
76,3,Glutamatergic Neuron
77,3,Glutamatergic Neuron
78,3,Glutamatergic Neuron
79,3,Glutamatergic Neuron
80,3,Glutamatergic Neuron
81,3,Glutamatergic Neuron
82,3,Glutamatergic Neuron
83,3,Glutamatergic Neuron
84,3,Glutamatergic Neuron
85,3,Glutamatergic Neuron
86,3,Glutamatergic Neuron
87,3,Glutamatergic Neuron
88,3,Glutamatergic Neuron
89,3,Glutamatergic Neuron
90,3,Glutamatergic Neuron
91,6,Oligodendrocyte.2
92,2,GABA-ergic Neuron
93,3,Glutamatergic Neuron
94,0,Astrocyte
95,0,Astrocyte
96,6,Oligodendrocyte.2
97,4,Microglia
98,2,GABA-ergic Neuron
99,3,Glutamatergic Neuron
100,0,Astrocyte
101,3,Glutamatergic Neuron
102,2,GABA-ergic Neuron
103,3,Glutamatergic Neuron
104,2,GABA-ergic Neuron
105,2,GABA-ergic Neuron
106,3,Glutamatergic Neuron
107,3,Glutamatergic Neuron
108,3,Glutamatergic Neuron
109,4,Microglia
110,2,GABA-ergic Neuron
111,3,Glutamatergic Neuron
112,3,Glutamatergic Neuron
113,3,Glutamatergic Neuron
114,3,Glutamatergic Neuron
115,2,GABA-ergic Neuron
116,3,Glutamatergic Neuron
117,3,Glutamatergic Neuron
118,2,GABA-ergic Neuron
119,2,GABA-ergic Neuron
120,3,Glutamatergic Neuron
121,2,GABA-ergic Neuron
122,4,Microglia
123,3,Glutamatergic Neuron
124,3,Glutamatergic Neuron
125,3,Glutamatergic Neuron
126,3,Glutamatergic Neuron
127,3,Glutamatergic Neuron
128,3,Glutamatergic Neuron
129,3,Glutamatergic Neuron
130,4,Microglia
131,2,GABA-ergic Neuron
132,3,Glutamatergic Neuron
133,2,GABA-ergic Neuron
134,3,Glutamatergic Neuron
135,0,Astrocyte
136,2,GABA-ergic Neuron
137,3,Glutamatergic Neuron
138,2,GABA-ergic Neuron
139,3,Glutamatergic Neuron
140,2,GABA-ergic Neuron
141,3,Glutamatergic Neuron
142,3,Glutamatergic Neuron
